Mandante,Placar,Visitante,Ano
Fortaleza,1–0,GRE,2024
Fortaleza,3–0,INT,2024
Fortaleza,2–1,JUV,2024
Fortaleza,3–0,PAL,2024
Fortaleza,1–1,RBB,2024
Fortaleza,1–0,SPA,2024
Fortaleza,3–0,VAS,2024
Fortaleza,3–1,VIT,2024
Grêmio,2–0,ATP,2024
Grêmio,3–1,ATG,2024
Grêmio,2–3,ATM,2024
Grêmio,0–2,BAH,2024
Grêmio,1–2,BOT,2024
Grêmio,0–3,COR,2024
Grêmio,1–2,CRI,2024
Grêmio,0–2,CRU,2024
Grêmio,1–0,CUI,2024
Grêmio,3–2,FLA,2024
Grêmio,1–0,FLU,2024
Grêmio,3–1,FOR,2024
Grêmio,0–1,INT,2024
Grêmio,2–2,JUV,2024
Grêmio,2–2,PAL,2024
Grêmio,0–2,RBB,2024
Grêmio,2–1,SPA,2024
Grêmio,1–0,VAS,2024
Grêmio,2–0,VIT,2024
Internacional,2–2,ATP,2024
Internacional,1–1,ATG,2024
Internacional,1–2,ATM,2024
Internacional,2–1,BAH,2024
Internacional,0–1,BOT,2024
Internacional,1–0,COR,2024
Internacional,2–0,CRI,2024
Internacional,1–0,CRU,2024
Internacional,3–0,CUI,2024
Internacional,1–1,FLA,2024
Internacional,2–0,FLU,2024
Internacional,2–1,FOR,2024
Internacional,1–0,GRE,2024
Internacional,2–1,JUV,2024
Internacional,1–1,PAL,2024
Internacional,4–1,RBB,2024
Internacional,0–0,SPA,2024
Internacional,1–2,VAS,2024
Internacional,3–1,VIT,2024
Juventude,1–1,ATP,2024
Juventude,1–0,ATG,2024
Juventude,1–1,ATM,2024
Juventude,2–1,BAH,2024
Juventude,3–2,BOT,2024
Juventude,2–0,COR,2024
Juventude,1–2,CRI,2024
Juventude,0–1,CRU,2024
Juventude,1–1,CUI,2024
Juventude,2–1,FLA,2024
Juventude,2–1,FLU,2024
Juventude,0–3,FOR,2024
Juventude,3–0,GRE,2024
Juventude,1–3,INT,2024
Juventude,3–5,PAL,2024
Juventude,1–1,RBB,2024
Juventude,0–0,SPA,2024
Juventude,2–0,VAS,2024
Juventude,1–1,VIT,2024
Palmeiras,0–2,ATP,2024
Palmeiras,3–1,ATG,2024
Palmeiras,2–1,ATM,2024
Palmeiras,2–0,BAH,2024
Palmeiras,1–3,BOT,2024
Palmeiras,2–0,COR,2024
Palmeiras,5–0,CRI,2024
Palmeiras,2–0,CRU,2024
Palmeiras,5–0,CUI,2024
Palmeiras,0–0,FLA,2024
Palmeiras,0–1,FLU,2024
Palmeiras,2–2,FOR,2024
Palmeiras,1–0,GRE,2024
Palmeiras,0–1,INT,2024
Palmeiras,3–1,JUV,2024
Palmeiras,2–1,RBB,2024
Palmeiras,2–1,SPA,2024
Palmeiras,2–0,VAS,2024
Palmeiras,0–2,VIT,2024
Red Bull Bragantino,1–0,ATP,2024
Red Bull Bragantino,3–1,ATG,2024
Red Bull Bragantino,1–2,ATM,2024
Red Bull Bragantino,2–1,BAH,2024
Red Bull Bragantino,0–1,BOT,2024
Red Bull Bragantino,1–0,COR,2024
Red Bull Bragantino,5–1,CRI,2024
Red Bull Bragantino,1–1,CRU,2024
Red Bull Bragantino,0–0,CUI,2024
Red Bull Bragantino,1–1,FLA,2024
Red Bull Bragantino,0–1,FLU,2024
Red Bull Bragantino,1–2,FOR,2024
Red Bull Bragantino,2–2,GRE,2024
Red Bull Bragantino,2–2,INT,2024
Red Bull Bragantino,2–1,JUV,2024
Red Bull Bragantino,0–0,PAL,2024
Red Bull Bragantino,1–1,SPA,2024
Red Bull Bragantino,2–1,VAS,2024
Red Bull Bragantino,2–1,VIT,2024
São Paulo,2–1,ATP,2024
São Paulo,1–0,ATG,2024
São Paulo,2–2,ATM,2024
São Paulo,3–1,BAH,2024
São Paulo,2–2,BOT,2024
São Paulo,3–1,COR,2024
São Paulo,2–1,CRI,2024
São Paulo,2–0,CRU,2024
São Paulo,0–1,CUI,2024
São Paulo,1–0,FLA,2024
São Paulo,2–1,FLU,2024
São Paulo,1–2,FOR,2024
São Paulo,1–0,GRE,2024
São Paulo,1–3,INT,2024
São Paulo,1–2,JUV,2024
São Paulo,0–0,PAL,2024
São Paulo,2–0,RBB,2024
São Paulo,3–0,VAS,2024
São Paulo,2–1,VIT,2024
Vasco da Gama,2–1,ATP,2024
Vasco da Gama,2–2,ATG,2024
Vasco da Gama,2–0,ATM,2024
